"species","num_occ","num_occ_in_iucn","num_occ_in_gbif"
"Amphibolurus muricatus",2600,2515,2542
"Anomalopus leuckartii",545,541,539
"Austrelaps superbus",552,417,523
"Basiliscus vittatus",931,701,897
"Calyptotis temporalis",34,32,29
"Carlia longipes",638,140,539
"Carlia munda",4349,4179,4228
"Carlia pectoralis",587,319,553
"Carlia rhomboidalis",124,72,106
"Carlia vivax",594,572,567
"Coluber constrictor",3484,8,3425
"Cordylus niger",17,11,11
"Cryptoblepharus litoralis",159,74,80
"Cryptoblepharus plagiocephalus",2798,51,2694
"Cryptoblepharus virgatus",1942,255,1802
"Ctenophorus cristatus",760,745,756
"Ctenophorus decresii",381,353,366
"Ctenophorus fordi",1350,1252,1343
"Ctenophorus pictus",1975,1944,1942
"Ctenophorus reticulatus",800,779,781
"Ctenotus pantherinus",1668,1643,1650
"Ctenotus regius",1869,1810,1862
"Ctenotus spaldingi",802,702,750
"Ctenotus taeniolatus",2928,2829,2870
"Ctenotus uber",873,167,857
"Cyclodomorphus branchialis",18,4,17
"Egernia cunninghami",920,872,895
"Egernia saxatilis",508,473,493
"Egernia striolata",2088,2075,2080
"Eremias multiocellata",47,14,43
"Eremiascincus fasciolatus",793,23,785
"Eulamprus kosciuskoi",269,265,266
"Eulamprus murrayi",621,586,619
"Eulamprus quoyii",3420,3312,3334
"Eulamprus tympanum",1193,1140,1168
"Gehyra variegata",6547,1957,6457
"Glaphyromorphus punctulatus",154,131,136
"Hemiergis quadrilineatum",6,6,4
"Heteronotia binoei",11415,10897,10957
"Lampropholis delicata",8310,7976,8031
"Lampropholis guichenoti",5256,5104,5141
"Lerista frosti",95,88,92
"Lerista neander",49,39,46
"Lerista orientalis",300,279,292
"Liolaemus bibronii",143,11,139
"Liolaemus boulengeri",26,1,21
"Liolaemus chiliensis",90,79,88
"Liolaemus cyanogaster",18,10,16
"Liolaemus darwinii",66,52,62
"Liolaemus elongatus",149,114,146
"Liolaemus kingii",11,5,6
"Liolaemus kriegi",54,44,50
"Liolaemus laurenti",19,4,15
"Liolaemus nigroviridis",30,29,27
"Liolaemus pictus",181,171,177
"Liolaemus pseudolemniscatus",9,5,7
"Liolaemus quilmes",5,3,2
"Liolaemus rothi",53,10,49
"Liolaemus schroederi",25,16,21
"Liolaemus tenuis",62,52,58
"Moloch horridus",918,877,907
"Morethia butleri",334,330,330
"Morethia lineoocellata",257,166,206
"Morethia obscura",1985,1850,1864
"Morethia taeniopleura",283,253,268
"Phymaturus tenebrosus",21,13,18
"Phymaturus zapalensis",9,8,7
"Pseudechis porphyriacus",3355,3172,3286
"Pseudemoia entrecasteauxii",1400,1221,1344
"Pseudemoia spenceri",361,356,358
"Pseudocordylus melanotus",50,48,45
"Pseudonaja nuchalis",1933,339,1859
"Saiphos equalis",1686,1568,1617
"Saproscincus basiliscus",177,170,169
"Sphaerodactylus roosevelti",16,14,6
"Takydromus formosanus",10,5,7
"Takydromus stejnegeri",10,4,6
"Thamnophis marcianus",954,141,945
"Thamnophis melanogaster",81,57,78
"Tiliqua nigrolutea",566,518,533
"Tiliqua rugosa",4130,3976,4040
"Tiliqua scincoides",3379,3101,3211
"Uta stansburiana",7443,6975,7229
"Varanus gouldii",3502,3268,3437
"Varanus varius",4862,4704,4776
